Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2026-07-11 01:26:07,,UTC+02:00,2026-07-11 01:26:07,2026-07-11 09:27:41,80,15.8,461,481,228,70,163,20,585,127,96,67,false
2026-07-10 04:20:38,2026-07-11 01:26:07,UTC+02:00,2026-07-10 04:20:38,2026-07-10 08:24:23,19,16.0,203,243,96,63,44,17,548,92,88,53,false
2026-07-09 01:30:56,2026-07-10 04:20:38,UTC+02:00,2026-07-09 01:30:56,2026-07-09 08:30:24,72,15.6,293,419,143,75,75,126,477,5,88,70,false
2026-07-07 23:30:37,2026-07-09 01:30:56,UTC+02:00,2026-07-07 23:30:37,2026-07-08 07:59:18,91,16.0,464,508,238,86,140,43,472,16,94,81,false
2026-07-06 23:37:25,2026-07-07 23:30:37,UTC+02:00,2026-07-06 23:37:25,2026-07-07 07:29:15,85,16.0,466,471,247,97,122,5,491,35,98,76,false
2026-07-05 23:21:25,2026-07-06 23:37:25,UTC+02:00,2026-07-05 23:21:25,2026-07-06 07:29:55,82,16.0,467,488,239,87,141,13,523,67,95,69,false
2026-07-05 01:58:27,2026-07-05 23:21:25,UTC+02:00,2026-07-05 01:58:27,2026-07-05 09:07:49,80,16.2,399,429,243,61,95,12,504,48,93,69,false
2026-07-04 00:46:12,2026-07-05 01:58:27,UTC+02:00,2026-07-04 00:46:12,2026-07-04 08:45:42,84,15.5,444,479,231,86,127,35,519,61,93,77,false
2026-07-03 00:03:50,2026-07-04 00:46:12,UTC+02:00,2026-07-03 00:03:50,2026-07-03 07:33:11,52,16.0,377,449,221,63,93,32,499,35,83,,false
2026-07-02 00:03:54,2026-07-03 00:03:50,UTC+02:00,2026-07-02 00:03:54,2026-07-02 07:30:23,76,15.8,421,446,203,97,121,19,491,0,94,,false
