Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2026-07-13 23:46:01,,UTC-04:00,2026-07-13 23:46:01,2026-07-14 08:57:20,95,16.5,529,551,280,92,158,22,488,31,96,85,false
2026-07-13 00:02:49,,UTC-04:00,2026-07-13 00:02:49,2026-07-13 08:32:14,89,15.9,477,509,270,101,107,32,526,70,94,83,false
2026-07-12 01:02:24,,UTC-04:00,2026-07-12 01:02:24,2026-07-12 08:27:58,83,16.4,427,446,195,119,114,18,536,66,96,77,false
2026-07-10 23:32:31,,UTC-04:00,2026-07-10 23:32:31,2026-07-11 08:07:44,68,15.6,368,515,170,109,89,147,500,43,71,77,false
2026-07-09 23:37:16,,UTC-04:00,2026-07-09 23:37:16,2026-07-10 07:16:51,87,16.5,455,460,226,102,126,5,521,61,99,0,false
2026-07-09 01:41:14,,UTC-04:00,2026-07-09 01:41:14,2026-07-09 08:59:37,79,15.4,374,438,200,69,105,65,469,0,85,0,false
2026-07-03 03:17:06,,UTC-04:00,2026-07-03 03:17:06,2026-07-03 09:28:54,72,17.2,323,372,171,100,52,49,518,59,87,74,false
2026-07-02 02:33:47,,UTC-04:00,2026-07-02 02:33:47,2026-07-02 09:41:34,79,16.9,406,428,214,98,94,22,497,41,95,61,false
2026-06-30 23:58:51,,UTC-04:00,2026-06-29 23:58:51,2026-06-30 08:05:27,73,16.8,428,487,345,58,25,59,510,50,88,39,false
2026-06-29 23:58:51,,UTC-04:00,2026-06-29 23:58:51,2026-06-30 08:05:27,73,16.8,428,487,345,58,25,59,510,50,88,39,false
2026-06-29 03:54:21,,UTC-04:00,2026-06-29 03:54:21,2026-06-29 10:21:03,76,17.0,380,387,230,86,63,7,481,18,98,59,false
2026-06-28 04:45:44,,UTC-04:00,2026-06-28 04:45:44,2026-06-28 12:44:23,76,16.1,420,479,214,112,94,59,455,0,88,45,false
2026-06-27 00:29:59,,UTC-04:00,2026-06-27 00:29:59,2026-06-27 11:59:30,76,15.7,556,690,324,75,157,133,461,0,81,58,false
2026-06-25 23:22:11,,UTC-04:00,2026-06-25 23:22:11,2026-06-26 10:12:54,84,15.3,629,651,304,128,197,22,522,70,97,64,false
2026-06-25 04:48:31,,UTC-04:00,2026-06-25 04:48:31,2026-06-25 10:42:46,72,16.2,345,354,183,63,99,10,484,18,97,42,false
2026-06-24 00:04:48,,UTC-04:00,2026-06-24 00:04:48,2026-06-24 09:29:50,76,16.2,418,565,205,112,101,147,453,0,74,84,false
2026-06-22 23:22:55,,UTC-04:00,2026-06-22 23:22:55,2026-06-23 09:30:32,86,15.7,569,608,272,125,171,39,453,0,94,70,false
2026-06-22 00:11:26,,UTC-04:00,2026-06-22 00:11:26,2026-06-22 10:50:23,85,16.1,600,639,360,91,150,38,455,0,94,66,false
2026-06-20 23:44:00,,UTC-04:00,2026-06-20 23:44:00,2026-06-21 08:49:57,87,15.8,531,546,221,111,199,15,510,52,98,76,false
2026-06-20 01:14:47,,UTC-04:00,2026-06-20 01:14:47,2026-06-20 07:34:59,81,16.5,368,380,165,97,106,12,472,15,97,71,false
2026-06-19 00:15:09,,UTC-04:00,2026-06-19 00:15:09,2026-06-19 08:00:12,87,16.4,433,465,232,84,118,32,456,0,93,75,false
2026-06-18 00:23:46,,UTC-04:00,2026-06-18 00:23:46,2026-06-18 09:49:00,86,15.1,520,565,298,90,132,46,453,0,92,69,false
2026-06-16 23:38:33,,UTC-04:00,2026-06-16 23:38:33,2026-06-17 08:51:33,84,15.6,523,553,298,135,91,30,383,18,95,65,false
2026-06-15 23:16:25,,UTC-04:00,2026-06-16 09:23:29,2026-06-16 10:59:37,24,15.8,90,96,45,34,11,6,469,18,95,53,true
2026-06-14 23:38:01,,UTC-04:00,2026-06-14 23:38:01,2026-06-15 08:29:33,90,16.2,503,532,288,98,117,28,479,22,95,77,false
2026-06-14 01:34:18,,UTC-04:00,2026-06-14 01:34:18,2026-06-14 09:13:18,81,16.6,412,459,234,88,91,47,456,0,90,75,false
2026-06-09 23:28:04,,UTC-04:00,2026-06-09 23:28:04,2026-06-10 07:50:39,73,16.8,486,503,235,113,138,17,458,0,97,78,false
2026-06-08 23:13:43,,UTC-04:00,2026-06-08 23:13:43,2026-06-09 08:14:25,84,16.0,514,541,316,75,123,27,453,0,95,63,false
2026-06-08 00:09:55,,UTC-04:00,2026-06-08 00:09:55,2026-06-08 08:25:05,78,16.9,478,495,208,142,128,18,324,12,96,44,false
2026-06-07 00:35:42,,UTC-04:00,2026-06-07 10:57:20,2026-06-07 13:27:13,28,15.7,146,150,88,44,14,4,465,12,98,47,true
2026-06-06 00:00:00,,UTC-04:00,2026-06-04 00:33:28,2026-06-04 09:41:26,84,15.6,522,548,291,108,123,26,519,66,95,68,false
2026-06-05 22:22:31,,UTC-04:00,2026-06-05 22:22:31,2026-06-06 07:00:47,78,16.2,473,518,274,111,87,46,464,0,91,35,false
2026-06-04 00:33:28,,UTC-04:00,2026-06-04 00:33:28,2026-06-04 09:41:26,84,15.6,522,548,291,108,123,26,519,66,95,68,false
2026-06-03 02:17:53,,UTC-04:00,2026-06-03 02:17:53,2026-06-03 08:40:29,82,15.7,376,383,158,120,96,7,508,53,98,75,false
2026-06-02 02:35:42,,UTC-04:00,2026-06-02 02:35:42,2026-06-02 08:32:37,79,15.1,349,357,173,98,78,8,454,0,98,61,false
2026-05-31 23:50:55,,UTC-04:00,2026-05-31 23:50:55,2026-06-01 07:52:03,91,15.7,464,481,265,82,116,18,454,0,98,84,false
2026-05-30 23:11:57,,UTC-04:00,2026-05-30 23:11:57,2026-05-31 08:42:18,90,15.3,544,570,275,147,122,26,509,38,96,78,false
2026-05-30 00:29:39,,UTC-04:00,2026-05-30 00:29:39,2026-05-30 06:52:43,83,15.7,378,383,219,68,92,5,454,0,99,75,false
2026-05-28 23:37:13,,UTC-04:00,2026-05-28 23:37:13,2026-05-29 08:29:46,98,15.7,516,532,303,101,112,17,458,0,97,88,false
2026-05-27 23:54:58,,UTC-04:00,2026-05-27 23:54:58,2026-05-28 08:19:02,93,16.5,486,504,258,101,127,18,461,0,97,84,false
2026-05-27 00:18:27,,UTC-04:00,2026-05-27 00:18:27,2026-05-27 08:38:03,90,15.1,469,500,266,71,131,31,469,16,94,78,false
2026-05-25 23:33:42,,UTC-04:00,2026-05-25 23:33:42,2026-05-26 08:46:12,80,16.5,530,552,308,123,99,23,555,81,96,63,false
2026-05-25 00:35:36,,UTC-04:00,2026-05-25 00:35:36,2026-05-25 06:13:40,70,16.7,332,338,198,95,39,6,494,27,99,58,false
2026-05-24 00:50:53,,UTC-04:00,2026-05-24 00:50:53,2026-05-24 09:46:43,82,16.1,516,536,258,74,184,20,558,104,96,67,false
2026-05-23 03:12:31,,UTC-04:00,2026-05-23 03:12:31,2026-05-23 07:38:39,65,16.0,265,266,150,66,49,2,472,11,99,54,false
2026-05-22 01:29:09,,UTC-04:00,2026-05-22 01:29:09,2026-05-22 09:12:32,84,16.1,449,463,232,115,103,14,466,0,97,67,false
